txg,ant,azi,bw,ber,clh,cli,col,rxs,dis,file,frq,ked,key,lat,lon,nam,net,out,pm,pol,rad,res,rxg,rxh,ter,tlt,txh,txw,uid
0,1232,0,10,0,1,5,10,-95,m,kmz,1530,0,YOUR KEY HERE,38.855,-77.00522222,2650125,ITM_1W_2m,2,1,v,20,30,0,2,15,0,25.3,1,YOUR UID HERE
0,1232,0,10,0,1,5,10,-95,m,kmz,1530,0,YOUR KEY HERE,38.90497222,-77.05038889,2667269,ITM_1W_2m,2,1,v,20,30,0,2,15,0,37.2,1,YOUR UID HERE
0,1232,0,10,0,1,5,10,-95,m,kmz,1530,0,YOUR KEY HERE,38.96436111,-77.05455556,2669594,ITM_1W_2m,2,1,v,20,30,0,2,15,0,39.6,1,YOUR UID HERE
0,1232,0,10,0,1,5,10,-95,m,kmz,1530,0,YOUR KEY HERE,38.93361111,-76.97777778,2669597,ITM_1W_2m,2,1,v,20,30,0,2,15,0,26.8,1,YOUR UID HERE
0,1232,0,10,0,1,5,10,-95,m,kmz,1530,0,YOUR KEY HERE,38.86525,-76.95172222,2669895,ITM_1W_2m,2,1,v,20,30,0,2,15,0,25.3,1,YOUR UID HERE
0,1232,0,10,0,1,5,10,-95,m,kmz,1530,0,YOUR KEY HERE,38.94566667,-77.02272222,2670434,ITM_1W_2m,2,1,v,20,30,0,2,15,0,27.1,1,YOUR UID HERE
0,1232,0,10,0,1,5,10,-95,m,kmz,1530,0,YOUR KEY HERE,38.88661111,-77.02516667,2673039,ITM_1W_2m,2,1,v,20,30,0,2,15,0,38.4,1,YOUR UID HERE
0,1232,0,10,0,1,5,10,-95,m,kmz,1530,0,YOUR KEY HERE,38.929,-77.01025,2678675,ITM_1W_2m,2,1,v,20,30,0,2,15,0,77.7,1,YOUR UID HERE
0,1232,0,10,0,1,5,10,-95,m,kmz,1530,0,YOUR KEY HERE,38.89138889,-76.97027778,2680728,ITM_1W_2m,2,1,v,20,30,0,2,15,0,14.9,1,YOUR UID HERE
0,1232,0,10,0,1,5,10,-95,m,kmz,1530,0,YOUR KEY HERE,38.90997222,-77.07416667,2682816,ITM_1W_2m,2,1,v,20,30,0,2,15,0,32.3,1,YOUR UID HERE
0,1232,0,10,0,1,5,10,-95,m,kmz,1530,0,YOUR KEY HERE,38.89066667,-77.02544444,2682918,ITM_1W_2m,2,1,v,20,30,0,2,15,0,20.1,1,YOUR UID HERE
0,1232,0,10,0,1,5,10,-95,m,kmz,1530,0,YOUR KEY HERE,38.89086111,-77.02147222,2683108,ITM_1W_2m,2,1,v,20,30,0,2,15,0,19.2,1,YOUR UID HERE
0,1232,0,10,0,1,5,10,-95,m,kmz,1530,0,YOUR KEY HERE,38.89491667,-76.95138889,2683352,ITM_1W_2m,2,1,v,20,30,0,2,15,0,30.8,1,YOUR UID HERE
0,1232,0,10,0,1,5,10,-95,m,kmz,1530,0,YOUR KEY HERE,38.94005556,-77.08125,2684764,ITM_1W_2m,2,1,v,20,30,0,2,15,0,135,1,YOUR UID HERE
0,1232,0,10,0,1,5,10,-95,m,kmz,1530,0,YOUR KEY HERE,38.89077778,-77.01811111,2685178,ITM_1W_2m,2,1,v,20,30,0,2,15,0,28.7,1,YOUR UID HERE
0,1232,0,10,0,1,5,10,-95,m,kmz,1530,0,YOUR KEY HERE,38.89086111,-77.02147222,2685179,ITM_1W_2m,2,1,v,20,30,0,2,15,0,28.7,1,YOUR UID HERE
0,1232,0,10,0,1,5,10,-95,m,kmz,1530,0,YOUR KEY HERE,38.89072222,-77.01538889,2685180,ITM_1W_2m,2,1,v,20,30,0,2,15,0,28.7,1,YOUR UID HERE
