ID,Street Address,City,State,County,Zip Code,Height of Structure,Ground Elevation,Overall Height Above Ground,Overall Height AMSL,Lat Deg,Lat Min,Lat Sec,Latitude,Lat Dir,Lon Deg,Lon Min,Lon Sec,Longitude,Lon Dir
2678675,Hospital Roof,Washington,DC,Washington,20010,16.7,62.8,77.7,140.5,38,55,44.4,38.929,N,77,0,36.9,77.01025,W
2680728,"2400 East Capital Street, NE",Washington,DC,Washington,20002,14,2.1,14.9,17,38,53,29,38.89138889,N,76,58,13,76.97027778,W
2682816,"3800 Reservoir Road, NW (7WAC122E)",Washington,DC,Washington,20057,32.3,44.2,32.3,76.5,38,54,35.9,38.90997222,N,77,4,27,77.07416667,W
2682918,"1000 Constitution Avenue, NW",Washington,DC,Washington,20004,18.8,3.6,20.1,23.7,38,53,26.4,38.89066667,N,77,1,31.6,77.02544444,W
2683108,"400 Constitution Ave, NW",Washington,DC,Washington,20004,19.2,3.6,19.2,22.8,38,53,27.1,38.89086111,N,77,1,17.3,77.02147222,W
2683352,3701 Benning Road,Washington,DC,Washington,20019,30.8,12.2,30.8,43,38,53,41.7,38.89491667,N,76,57,5,76.95138889,W
2684764,4001 Nebraska Ave. NW,Washington,DC,Washington,20016,112.8,119.5,135,254.5,38,56,24.2,38.94005556,N,77,4,52.5,77.08125,W
2685178,"Madison Drive & 4th Street, NW",Washington,DC,Washington,20004,28.7,3.1,28.7,31.8,38,53,26.8,38.89077778,N,77,1,5.2,77.01811111,W
2685179,"400 Constitution Ave, NW",Washington,DC,Washington,20004,28.7,3.7,28.7,32.4,38,53,27.1,38.89086111,N,77,1,17.3,77.02147222,W
2685180,"Madison Drive and 3rd Street, NW",Washington,DC,Washington,20004,28.7,3,28.7,31.7,38,53,26.6,38.89072222,N,77,0,55.4,77.01538889,W
2685185,"Independence Avenue and 6th Street., SW",Washington DC,DC,Washington,20004,24.4,4.3,24.4,28.7,38,53,18.8,38.88855556,N,77,1,16.9,77.02136111,W
2685186,"East Capitol St. & First St., NE",Washington,DC,Washington,20004,24.4,4,24.4,28.4,38,53,30.8,38.89188889,N,77,0,51.4,77.01427778,W
2685312,"1801 Constitution Ave, NW",Washington,DC,Washington,20006,28.7,5.2,28.7,33.9,38,53,32.5,38.89236111,N,77,2,31.4,77.04205556,W
2685378,1000 Constitution Ave NW,Washington,DC,Washington,20004,30.5,4,30.5,34.5,38,53,26.5,38.89069444,N,77,1,31.3,77.02536111,W
2685410,Maine Avenue SW and Independence Av,Washington,DC,Washington,200040021,28.6,8,28.6,36.6,38,53,13.3,38.88702778,N,77,2,4.7,77.03463889,W
2685445,Independence Avenue SW and 17th Street SW,Washington,DC,Washington,200040021,28.6,2.3,28.6,30.9,38,53,18.5,38.88847222,N,77,2,22.1,77.03947222,W
2685447,Ohio Drive (on ramp) and 23rd Street SW,Washington,DC,Washington,200372000,28.6,6.8,28.6,35.4,38,53,17.2,38.88811111,N,77,3,2,77.05055556,W
2685448,200 Constitution Avenue NW,Washington,DC,Washington,200040000,25.9,4,25.9,29.9,38,53,30.8,38.89188889,N,77,0,51.6,77.01433333,W
2685619,Independence Ave SW & 17th Street SW,Washington,DC,Washington,200040021,28.7,2.4,28.7,31.1,38,53,19.6,38.88877778,N,77,2,20.7,77.03908333,W
2685620,Independence Ave SW & 17th Street SW,Washington,DC,Washington,200040021,28.7,2.4,28.7,31.1,38,53,19.6,38.88877778,N,77,2,20.7,77.03908333,W
2685621,Ohio Drive (on ramp) & 23rd Street SW,Washington,DC,Washington,20004,25.6,4.3,25.6,29.9,38,53,17.8,38.88827778,N,77,2,49.7,77.04713889,W
2685629,"200' NW of 1964 Independence Ave., SW",Washington,DC,Washington,20004,18.2,3.3,21.6,24.9,38,53,17.5,38.88819444,N,77,2,34.5,77.04291667,W
2685881,"4301 13th Street, NW",Washington,DC,Washington,20011,36.7,53,37.7,90.7,38,56,31.1,38.94197222,N,77,1,41.6,77.02822222,W
2686018,17th And Independence Ave,Washington,DC,Washington,20004,25.9,4,25.9,29.9,38,53,13.8,38.88716667,N,77,2,11.8,77.03661111,W
2686282,"200' NW of 1964 Independence Avenue, SW",Washington,DC,Washington,20004,18.2,3.3,18.2,21.5,38,53,17.5,38.88819444,N,77,2,34.5,77.04291667,W
2694708,1000 CONSTITUTION AVE NW,WASHINGTON,DC,Washington,20004,25.6,8.8,26.5,35.3,38,53,26.2,38.89061111,N,77,1,51.9,77.03108333,W
2694941,Fletcher Johnson Education Complex 4650 Benning Road,Washington,DC,Washington,20019,53,53,60.7,113.7,38,53,3,38.88416667,N,76,55,56.2,76.93227778,W
2695444,6000 Glover Rd NW,Washington,DC,Washington,20015,39.9,92.9,39.9,132.8,38,57,22.3,38.95619444,N,77,3,1,77.05027778,W
2695569,"off of Madison Dr NW,in front of the Smithsonian National Museum",Washington,DC,Washington,20004,28,5.1,28,33.1,38,53,26.1,38.89058333,N,77,1,51.3,77.03091667,W
2696165,"Independence Ave & 6th St., SW",Washington,DC,Washington,20024,24.3,4.2,24.3,28.5,38,53,18.8,38.88855556,N,77,1,16.9,77.02136111,W
2696244,"Michigan Ave NE Washington, DC",Washington,DC,Washington,20064,45.7,59.4,45.7,105.1,38,55,58.4,38.93288889,N,76,59,51,76.9975,W
2700092,16th & Kennedy St NW,Washington,DC,Washington,20011,30.5,78,31.1,109.1,38,57,11.5,38.95319444,N,77,2,18.9,77.03858333,W
2700542,1050 Independence Ave SW,WASHINGTON,DC,Washington,20560,19.5,9.5,19.5,29,38,53,18.7,38.88852778,N,77,1,39,77.0275,W
2700672,14th and Madison Ave NW,WASHINGTON,DC,Washington,20560,28,8.8,28,36.8,38,53,26.2,38.89061111,N,77,1,51.9,77.03108333,W
2708283,"1900 Half Street, S.W. (7WDC054B)",Washington,DC,Washington,20024,34.1,2.7,34.1,36.8,38,52,2,38.86722222,N,77,0,32.9,77.00913889,W
